filename,split,width,height,aspect_ratio,n_objects,n_fire,n_smoke,brightness,content
0050_jpg.rf.1a96899df21bd1660e135e3fe80c1520.jpg,train,640,640,1.0,2,1,1,118.6142578125,both
0052_jpg.rf.6c0268500e49c9864c7b3f2b4950824c.jpg,train,640,640,1.0,2,1,1,107.769287109375,both
0052_jpg.rf.efcc6ced91c4b10b39edeee466a35e65.jpg,train,640,640,1.0,2,1,1,107.6845703125,both
0054_jpg.rf.9e84d5e105208b5ec0e1f51b15bacefe.jpg,train,640,640,1.0,1,0,1,59.2080078125,smoke_only
0055_jpg.rf.15c19cecb485c2bb5ecd94eeb511bc7d.jpg,train,640,640,1.0,3,1,2,100.291015625,both
0056_JPG_jpg.rf.b046805836785a851b3aae01dcf7aadc.jpg,train,640,640,1.0,2,1,1,95.415283203125,both
0056_JPG_jpg.rf.c3721c80ba34cd6072d13b5e7965141a.jpg,train,640,640,1.0,2,1,1,92.498779296875,both
0057_JPG_jpg.rf.b3ac0c6231ff76c1d4bb28ae41041e1f.jpg,train,640,640,1.0,2,1,1,99.0556640625,both
0058_jpg.rf.787eda909f88543fec205f33e4edec24.jpg,train,640,640,1.0,2,1,1,119.03515625,both
0058_jpg.rf.e7dd4c99d61a03cac544a8248db7ded6.jpg,train,640,640,1.0,2,1,1,120.107177734375,both
0061_JPG_jpg.rf.9f9e02793ef510872135351871fdbadb.jpg,train,640,640,1.0,1,1,0,59.241943359375,fire_only
0062_jpg.rf.bd5e0b64bd1452eb486463485628a629.jpg,train,640,640,1.0,2,2,0,135.9111328125,fire_only
0066_jpg.rf.d2a5b5394630f77b5336a4761cea202f.jpg,train,640,640,1.0,2,1,1,109.16943359375,both
0067_jpg.rf.094ff5d9bfcc53fa40f63457112d3c97.jpg,train,640,640,1.0,2,1,1,105.198974609375,both
0068_jpg.rf.eed1c4197eb105498b9502c9c96c0b30.jpg,train,640,640,1.0,1,0,1,126.62548828125,smoke_only
0069_jpg.rf.c464fb5f5025e706952a77e69ab8f869.jpg,train,640,640,1.0,2,1,1,117.950439453125,both
0070_JPG_jpg.rf.56be6e7ea99bf6ee0ec98e352d8b8633.jpg,train,640,640,1.0,2,1,1,88.31591796875,both
0071_JPG_jpg.rf.b063ae06cfe95773e41207f757d51097.jpg,train,640,640,1.0,1,1,0,122.73486328125,fire_only
0074_JPG_jpg.rf.0536a368e458c5e30105774e56670ab1.jpg,train,640,640,1.0,1,1,0,147.56494140625,fire_only
0076_jpg.rf.234645e7e3f301bb892da739b55cae06.jpg,train,640,640,1.0,1,0,1,53.28857421875,smoke_only
0081_JPG_jpg.rf.569b062042f0b2dbed0ab6abb2330dee.jpg,train,640,640,1.0,2,0,2,77.044677734375,smoke_only
0085_jpg.rf.adc88fb22ee95f417ab5d12737508cce.jpg,train,640,640,1.0,1,1,0,97.9365234375,fire_only
0087_jpg.rf.769ba74d58d57b507fde2be92952b6ca.jpg,train,640,640,1.0,2,1,1,80.4326171875,both
0088_JPG_jpg.rf.8040ca04d194492d042ba4a08c3a9a12.jpg,train,640,640,1.0,1,1,0,98.966552734375,fire_only
0089_JPG_jpg.rf.014d5b4e76e9547922613949ea9584ef.jpg,train,640,640,1.0,1,0,1,65.171875,smoke_only
0090_jpg.rf.1a6de375bdd838ee35bfe198150c7cab.jpg,train,640,640,1.0,1,1,0,97.53857421875,fire_only
0091_jpg.rf.6a26368ad6dda524fd9aa0e7b2fc8438.jpg,train,640,640,1.0,1,1,0,57.515625,fire_only
0095_jpg.rf.2f02be148334c93aa5c6e48aa01d4b36.jpg,train,640,640,1.0,1,1,0,142.906982421875,fire_only
0096_jpg.rf.acb9b1de1e607821c63b696065227776.jpg,train,640,640,1.0,1,0,1,83.894287109375,smoke_only
0096_jpg.rf.b63d47f415cc1585e1c0a6f78bb48f09.jpg,train,640,640,1.0,1,0,1,85.37890625,smoke_only
0098_jpg.rf.df12ff8a92f5273eee8f108cef19e0b8.jpg,train,640,640,1.0,2,2,0,118.77490234375,fire_only
0099_jpg.rf.1f754706c4744035189e963c3c7487e7.jpg,train,640,640,1.0,2,1,1,128.955322265625,both
0100_jpg.rf.27c1f983eb803f4c3d96667d5e04337b.jpg,train,640,640,1.0,3,1,2,119.649658203125,both
0102_jpg.rf.632845420b2139de670f69d69006182d.jpg,train,640,640,1.0,1,1,0,91.773193359375,fire_only
0102_jpg.rf.8cb9b40ed6fa41a482a6aaf6a93a93ce.jpg,train,640,640,1.0,2,1,1,99.357421875,both
0102_jpg.rf.c22291bc0469bde08a1031955afb2964.jpg,train,640,640,1.0,1,1,0,91.61669921875,fire_only
0104_jpg.rf.553e969fb4de735172ecfcf74044a403.jpg,train,640,640,1.0,1,1,0,57.2646484375,fire_only
0104_jpg.rf.b933162c8781667b62fdeca09e2c2b3e.jpg,train,640,640,1.0,1,1,0,126.97607421875,fire_only
0108_jpg.rf.857f8428d3c16f5ad6584f84a4078118.jpg,train,640,640,1.0,1,1,0,103.305908203125,fire_only
