filename,split,class_id,class_name,x_center,y_center,box_w,box_h,box_area,box_aspect,img_w,img_h,n_objects_in_image,size_category
0050_jpg.rf.1a96899df21bd1660e135e3fe80c1520.jpg,train,1,Smoke,0.1875,0.3609375,0.3125,0.278125,0.0869140625,1.1235955056179774,640,640,2,large
0050_jpg.rf.1a96899df21bd1660e135e3fe80c1520.jpg,train,0,Fire,0.5546875,0.69375,0.303125,0.18125,0.05494140624999999,1.6724137931034482,640,640,2,large
0052_jpg.rf.6c0268500e49c9864c7b3f2b4950824c.jpg,train,1,Smoke,0.4375,0.5390625,0.1,0.171875,0.0171875,0.5818181818181819,640,640,2,medium
0052_jpg.rf.6c0268500e49c9864c7b3f2b4950824c.jpg,train,0,Fire,0.4890625,0.6734375,0.084375,0.065625,0.005537109375000001,1.2857142857142858,640,640,2,medium
0052_jpg.rf.efcc6ced91c4b10b39edeee466a35e65.jpg,train,1,Smoke,0.4375,0.5390625,0.1,0.171875,0.0171875,0.5818181818181819,640,640,2,medium
0052_jpg.rf.efcc6ced91c4b10b39edeee466a35e65.jpg,train,0,Fire,0.4890625,0.6734375,0.084375,0.065625,0.005537109375000001,1.2857142857142858,640,640,2,medium
0054_jpg.rf.9e84d5e105208b5ec0e1f51b15bacefe.jpg,train,1,Smoke,0.521875,0.3796875,0.1,0.246875,0.0246875,0.4050632911392405,640,640,1,large
0055_jpg.rf.15c19cecb485c2bb5ecd94eeb511bc7d.jpg,train,1,Smoke,0.521875,0.221875,0.0625,0.30625,0.019140625,0.2040816326530612,640,640,3,medium
0055_jpg.rf.15c19cecb485c2bb5ecd94eeb511bc7d.jpg,train,0,Fire,0.4390625,0.2859375,0.121875,0.353125,0.043037109375,0.34513274336283184,640,640,3,large
0055_jpg.rf.15c19cecb485c2bb5ecd94eeb511bc7d.jpg,train,1,Smoke,0.540625,0.4265625,0.075,0.109375,0.008203125,0.6857142857142857,640,640,3,medium
0056_JPG_jpg.rf.b046805836785a851b3aae01dcf7aadc.jpg,train,1,Smoke,0.69375,0.5234375,0.34375,0.221875,0.07626953125,1.5492957746478875,640,640,2,large
0056_JPG_jpg.rf.b046805836785a851b3aae01dcf7aadc.jpg,train,0,Fire,0.5,0.6796875,0.15,0.071875,0.01078125,2.0869565217391304,640,640,2,medium
0056_JPG_jpg.rf.c3721c80ba34cd6072d13b5e7965141a.jpg,train,1,Smoke,0.69375,0.5234375,0.34375,0.221875,0.07626953125,1.5492957746478875,640,640,2,large
0056_JPG_jpg.rf.c3721c80ba34cd6072d13b5e7965141a.jpg,train,0,Fire,0.5,0.6796875,0.15,0.071875,0.01078125,2.0869565217391304,640,640,2,medium
0057_JPG_jpg.rf.b3ac0c6231ff76c1d4bb28ae41041e1f.jpg,train,1,Smoke,0.53125,0.3578125,0.0375,0.078125,0.0029296875,0.48,640,640,2,medium
0057_JPG_jpg.rf.b3ac0c6231ff76c1d4bb28ae41041e1f.jpg,train,0,Fire,0.49375,0.3984375,0.0375,0.084375,0.0031640625,0.4444444444444444,640,640,2,medium
0058_jpg.rf.787eda909f88543fec205f33e4edec24.jpg,train,1,Smoke,0.5109375,0.36796875,0.121875,0.296875,0.036181640625,0.4105263157894737,640,640,2,large
